ID	Average Num Places Added In Each Step	Average LPMs In Local Tree	Total number of lpms in Main Tree	Number of passed trace variants	Main Tree average width	Main Tree average width	Main Tree average height	Total number of Main Tree nodes
7f81b340-7a24-4d29-b826-4986229caa3a	0	1	449766	4366	1.5483870967741935	10	4	49
ff830334-d9a3-40c2-931f-c91a4e0f100e	0	10	2502473	4366	1.550561797752809	17	5	139
cd32b6b9-f07e-465a-8b95-8190a2775082	0	128	19609394	2725	2.210655311224909	87	7	161454
0516c441-3435-449f-9c4c-8fd3046ba212	0	2	623018	4366	1.6363636363636365	7	4	55
f004fb66-1fa6-45f5-99bb-06ed01466d32	0	12	3068715	4366	1.5714285714285714	16	5	122
435c112b-26da-4a3a-a28b-2c15da659c66	0	157	12436581	1298	2.065700788042925	86	7	202890
dbcab5ce-2973-40b0-8b08-33a3c7d4b7a6	0	3	984588	4366	1.5853658536585367	9	4	66
68ac47bc-fb5d-4592-ab90-26f06989592f	0	15	4126785	4366	1.5714285714285714	13	5	133
401e7af7-c5d0-4b3b-b194-d5eeddc01bd8	1	2684	381216	3	3.3907191336841302	105	6	266776
3fe9a795-f485-4ac4-ae0b-81bd420c1851	0	0	102638	4366	1.3	4	4	14
df99a566-61e4-45ef-ad42-e07c9aba2c8b	0	3	604581	4366	1.492063492063492	12	5	95
e7f678e5-40b1-4618-9c08-46ece28a6fe6	0	7280	618883	1	2.901196771500139	117	6	260601
9643c107-aa73-4c15-9fdb-1f989210fced	0	0	190815	4366	1.4761904761904763	7	4	32
1da98114-489c-46ba-90f6-7f669afb95f4	0	5	1237447	4366	1.515625	12	5	98
df283397-248d-4349-bbe3-c95ff16fcc04	0	13727	878585	1	2.2585325122638555	86	6	238030
890a541c-0041-4b6d-8ea0-f82a508c06c3	0	1	449766	4366	1.5666666666666667	9	4	48
44a298f9-ab4e-4384-b6fc-739e2985cc74	0	10	2502473	4366	1.5053763440860215	18	5	141
89d39695-ade7-4591-a1b6-2cb00df4c67c	0	12281	1129906	1	4.8105837083769565	145	4	353805
9bc8e96a-ac59-478f-8a06-9a37d906df16	3	527	27973	2	3.7898671096345513	37	4	9127
4220b816-28f5-4c41-a196-61d3eb0c9f4b	0	1	82	2	1.4	2	3	8
10f3c62b-8ad5-4ebc-aeb1-c9f07c770046	0	7	371	2	1.5925925925925926	7	4	44
d334af1f-3a6b-4eb3-8c4b-12dc8d036860	2	1583	90247	2	4.9462181679969595	41	4	26028
a17d0a9f-009d-4cf4-abe5-6cd3c28c8cbc	0	3	179	2	1.5	3	4	16
b92f8fd1-2874-400e-8a35-90eb87d149be	0	13	793	2	1.7272727272727273	5	4	39
0e0a5439-00dd-4647-8897-4e61b76be91e	2	11381	762535	2	3.210616133963807	47	6	180611
a218af1d-1204-4e33-8eb2-22f3c6931b7c	0	9	624	2	1.6851851851851851	6	6	92
bcd13017-9f65-4d13-a85d-27cfe47552d1	0	23	1572	2	1.6111111111111112	5	5	59
5ed50005-502a-4503-9fe6-0a4d6510fe1a	2	18468	1348180	2	3.297874585786952	46	6	156251
14909c1a-12d5-495d-8d43-76d299898846	0	15	1100	2	1.5666666666666667	6	6	95
a35ee50d-467e-4264-9de0-a6fc5514e121	0	28	2115	2	1.6129032258064515	7	5	51
e34bfce8-c350-48e2-828c-d82155f9b9db	2	20885	1733465	2	3.373262009382496	47	6	158912
84caeb6f-f390-42d4-a8fb-dd8223585ec6	0	23	1929	2	1.6323529411764706	8	6	112
d51d06af-2e2c-4b09-8c76-ab0a67759026	0	35	2982	2	1.5714285714285714	7	5	56
b32bf009-16f5-4cf5-9d2d-2bca21ba04a9	8	3952	209507	2	4.858536819842338	75	4	101078
c01bb863-ea47-4c04-a856-ed0e0962cd1b	0	1	82	2	1.2857142857142858	3	3	10
763798db-ac91-4b98-859e-a2be1c85d170	0	7	371	2	1.6666666666666667	6	4	41
2ce64091-adea-4acd-b4ff-d324bcf75514	7	11492	563131	1	5.8544265867611	79	4	214917
c026f03c-d713-4100-859c-7f60969b197b	0	3	210	2	1.5	4	3	19
36ad8dd2-1511-4add-83a4-0574cb6d33c2	0	13	793	2	1.6153846153846154	6	4	43
6673a321-f8fa-4148-9d2d-5954bc588216	8	53585	964544	0	5.695507759324802	78	4	209197
b9b7ee9a-b0c7-4d78-8779-7284eecbddb4	0	9	624	2	1.6382978723404256	5	6	78
c705df37-0e9a-4fa5-ae15-4649fa50a529	0	23	1573	2	1.6176470588235294	6	5	56
7b0beed4-92d9-454b-ab01-df5a021cdfda	8	27129	922416	1	5.712039948215277	76	4	185311
9498d78c-143f-4fd1-be36-d5744ded561b	0	15	1100	2	1.6271186440677967	6	6	97
aef164fa-acbb-4eeb-ab5a-d8df47cd918f	0	28	2115	2	1.5806451612903225	8	5	50
7189f66a-4868-40ca-87c5-088d89027138	8	33644	1312121	1	5.48606591325957	77	4	185441
8b07118d-32e8-4369-aa6d-d38cad1c0036	0	25	2133	2	1.7540983606557377	7	6	108
e289c3f2-5bc1-46fe-a532-c72024f6329d	0	35	2982	2	1.606060606060606	7	5	54
72ce4ee3-44f2-41f8-8e65-83a3ccb8e56f	10	6065	321452	2	5.343084563575753	85	4	157077
a0152198-3fdb-4c1f-af4e-b0aa01b8b024	0	1	82	2	1.4	2	3	8
e4bde6f7-d5d2-4fcf-9a2b-0181c979a8ec	0	7	371	2	1.6666666666666667	6	4	41
37b12199-c78d-4ed4-9bc7-22a97a453ae0	13	28090	337088	0	5.556005237471729	90	4	233381
bbdb726d-06a7-4f92-bba3-4e086309aac7	0	3	179	2	1.4166666666666667	4	4	18
4c30611f-019f-44a9-8d0d-2129707feee8	0	13	793	2	1.64	6	4	42
c58ac749-200b-4844-bd25-82b5f87df8fe	12	41506	622603	0	5.471506002735424	90	4	216027
bc722abf-c207-4496-bdf7-10b99ad1e980	0	9	624	2	1.6071428571428572	7	6	91
f708d06f-23c0-4785-9035-0c454374564f	0	23	1574	2	1.606060606060606	6	5	54
944a3faf-2743-44b6-819a-eedd03b56498	12	49267	886815	0	5.366199473187864	86	4	165017
c17fa4ad-5cba-496c-848a-e01bb41a1ef4	0	0	35306	11973	2.0303030303030303	6	5	68
45d03509-4e7b-41f3-93d9-d239e62dd6df	0	0	0	1	NaN	-1	0	1
979a7b4d-6713-44eb-80b9-47d96edac8f9	0	0	0	1	NaN	-1	0	1
332ded59-7818-4ce7-9787-c11b87830ad0	0	1	7	1	NaN	-1	0	1
1ed5a82f-30f1-4f66-9e69-ae00aa33fb4c	0	1	7	1	NaN	-1	0	1
7aff5a15-2a92-41d8-b9fc-b64d7a81a6ba	0	1	7	1	NaN	-1	0	1
db4fec76-e6de-4eaf-b2f9-33a6d34db01c	0	1	7	1	NaN	-1	0	1
165b1a5a-eb19-4070-86df-ff3435952cae	0	0	3	1	NaN	-1	0	1
d5f99706-399f-42b7-b5a8-d8e28580b22a	0	2	10	1	NaN	-1	0	1
493add12-a6c9-4837-94c2-e22b86d2352b	0	2	10	1	1.0	1	2	3
