ID	Count Places	Average number of input transitions	Average number of output transitions
96538696-3a9a-406c-8458-2ea6ba7d60c9	50	2.7	2.7
ab6ce19d-151e-44b7-b81a-cda800cffaea	50	2.7	2.7
