ID	Average Num Places Added In Each Step	Min Num Places Added In Each Step	Max Num Places Added In Each Step	Average LPMs In Local Tree	Min LPMs In Local Tree	Max LPMs In Local Tree	Average Window Processing Time	Min Window Processing Time	Max Window Processing Time	Number of passed trace variants	Main Tree average num children	Main Tree max num children	Main Tree average height	Total number of Main Tree nodes
6f5012e5-c101-44d6-a264-4d47a3fc0c13	0	0	10	31	0	6214	0	0	9	265	2.2117932862190814	45	7	10016
3988a320-dc9f-4ef2-adb6-4e570c9c6286	1	0	10	160	0	12388	0	0	18	231	2.0114624505928855	47	7	20357
86cbca48-d7fe-4563-8b6a-387938422cd7	1	0	10	160	0	12463	0	0	8	231	2.0115134815981106	47	7	20442
