ID	Log Name	Total Execution Time	LPM Discovery Execution Time	Interrupted	Count Places Used	Proximity	Concurrency cardinality	LPM discovered	LPM returned	Timestamp
6f5012e5-c101-44d6-a264-4d47a3fc0c13	Road Traffic Fine Management Process	PT0S	PT33.531S	false	50	7	2	7359	100	Fri May 13 13:02:06 CEST 2022
3988a320-dc9f-4ef2-adb6-4e570c9c6286	Road Traffic Fine Management Process	PT0S	PT30.07S	false	50	7	2	14962	100	Fri May 13 13:03:09 CEST 2022
86cbca48-d7fe-4563-8b6a-387938422cd7	Road Traffic Fine Management Process	PT0S	PT46.562S	false	50	7	2	15036	100	Fri May 13 13:04:33 CEST 2022
