ID	Count Places	Average number of input transitions	Average number of output transitions
e88c77cb-2e75-4c41-82a3-5ebfc5b7c0ff	10	1.0	1.0
60e8fd3c-56c5-4781-bdc6-a3043af59c4b	50	1.48	1.46
291c9b8d-a3ef-4ff3-b8d6-f7b365eeb1fb	100	2.02	1.97
9e30436a-1696-480b-b41c-e6a3fac14236	250	2.936	2.876
67bbebc7-8bcf-433a-82aa-a6d5ece0f766	500	3.806	3.732
17f8533d-d1f6-4ff1-85a2-8654b2b0281c	500	3.806	3.732
988a5637-6093-47cf-b318-3c4df85e91aa	8	3.5	3.5
006b1989-7baa-4809-9aa3-bf7abd1cbfa6	8	3.5	3.5
4493a2c3-f0c2-4690-9cfd-fc4d871c6c97	8	3.5	3.5
7d17c99e-a940-4b9b-8c37-a6c773e003b2	8	3.5	3.5
a7224dc6-5c7c-4a19-b132-00c17efb26c2	10	1.0	1.0
c6cb26e5-1eea-4a09-8659-fb69e6ceb756	50	1.0	1.0
60d30891-df32-487f-8390-d3fba57149b8	8	3.5	3.5
6d3f14e3-30d7-4294-ac61-73334ba296ac	100	1.28	1.11
e51ece87-3c75-48d4-8761-64d899d7a0e5	10	1.0	1.0
a8201cd2-435f-41c2-af84-68cf618700a8	50	1.0	1.0
7e0e60ed-ac8e-426e-9e79-0fbe3b3d8b6b	100	1.28	1.11
80489f6e-de2c-48da-bd86-a85071a14416	250	1.368	1.548
d163fb23-805c-49ad-bdcf-9d677dc7186d	50	1.82	1.64
c496c5fa-a0c6-4f64-8b17-ae70088a291c	50	2.16	2.2
672c8ab3-a79d-4fdd-b1fe-60ff0e3b0e91	10	1.4	1.4
82c0a67d-c96d-468e-bc52-ee32bf97f721	50	2.16	2.2
8e51c3de-32c8-4d48-b3bb-500d66039c10	100	2.77	2.77
6117f658-3d04-417a-a179-36c7367fddff	125	3.112	3.112
e3f0e972-2459-40a5-9358-129d1470fdec	10	1.2	1.0
58db4e79-15b1-4e28-b311-3aeab740a77e	50	1.82	1.64
ee2059c0-1065-4720-9aff-81c035ec2532	100	2.35	1.8
a292a07d-6b6d-4f55-a159-8e74680fd04b	250	2.732	2.212
9b12efdf-8ce0-4a8b-9d09-c81f391fefcc	9	1.0	1.0
951c3fd2-5fc6-48bc-9c84-97aaa89d41aa	30	1.4333333333333333	1.4333333333333333
cc2c2b1e-1d89-4a04-afa8-ea26ec3225f6	31	1.5161290322580645	1.5161290322580645
65c06063-6de6-4569-976a-eea7de25529e	31	1.4193548387096775	1.4193548387096775
95d7d217-66af-4460-aa9c-07aa892f936b	30	1.5333333333333334	1.5333333333333334
717e7e89-a11a-4168-b80c-3185f91232e3	31	1.4516129032258065	1.4516129032258065
68d49c85-0190-46f7-98f7-da48f9e99f98	31	1.4516129032258065	1.4516129032258065
96bbee67-dc6c-49e0-9444-b89cbd9712ce	31	1.4516129032258065	1.4516129032258065
027f134a-3ccc-449e-b26c-f9a121b7b7ed	31	1.4516129032258065	1.4516129032258065
8ba7a12b-7b00-4715-b095-d37a18a9a5b8	31	1.4516129032258065	1.4516129032258065
b70d8ea7-1fa8-4680-8426-23d2c1b5ad92	31	1.4516129032258065	1.4516129032258065
71074e68-81d7-475e-bec5-977229792154	31	1.4516129032258065	1.4516129032258065
6d056f42-2be7-4132-a53c-150199f30c63	30	1.4333333333333333	1.4333333333333333
ff23e995-aff8-4069-b948-e7d49fbd3564	33	1.4848484848484849	1.4848484848484849
a6219e99-196e-42c9-9bb4-34fe708b22c8	30	1.5333333333333334	1.5333333333333334
fad05a3d-81ad-4a5e-ab5c-63e60f06240d	50	1.7	1.42
b60aa074-d806-45ee-9b4a-0d4e762998ec	250	2.396	2.056
300fe81d-f0b6-4416-9df4-996831525cf5	100	1.79	1.67
9be63f40-d147-4747-be33-33c6105b2e18	50	1.64	1.46
9d878f2d-29fd-468d-9314-ad988ea07700	50	2.16	2.2
71bb922b-d582-4568-b833-662079597107	50	1.64	1.46
6e254177-76f7-436f-9ab7-3541c26d5680	50	1.64	1.46
d705175a-0ac4-4ee5-8d0f-d55c21b7239c	50	1.64	1.46
b00abc24-7b07-493e-b691-cf3fe1642403	100	1.82	1.73
aa1caed4-bf96-433a-81b1-141ee69c0ad8	70	1.7428571428571429	1.6142857142857143
3df070ab-84e2-4bce-98b3-34002f487322	50	1.64	1.46
5eceab51-a22d-4314-81d3-8f3f1498ef52	31	1.4516129032258065	1.4516129032258065
dda8c270-9224-4711-9d5b-3457b539ee58	31	1.4516129032258065	1.4516129032258065
95d1e8c3-01b8-4139-9c66-fa0e16e712f0	50	1.64	1.46
8bf7274b-76cf-4f2b-8247-069477235447	50	1.64	1.46
66380ac2-399e-4ef2-991a-b437221f3af6	50	1.48	1.46
32a7dd9d-f3b0-4937-a73b-080a69fd25d6	26	1.4230769230769231	1.4230769230769231
cb06b857-8bb9-45de-8f44-bcdf7cca7c07	24	2.25	2.4583333333333335
bc6548e1-c548-4e0d-8ec1-52859d61e405	50	1.48	1.46
df24cb64-786e-4d57-97e7-5006f3cf26f1	28	1.3928571428571428	1.3928571428571428
2ca7b305-eb64-4f1a-973f-4c4f32d9665b	24	2.25	2.4583333333333335
ebbbb627-e3a8-45ff-a6a9-2902ec95dfec	50	1.48	1.46
278293d1-d84f-4faa-a4ec-385820a4e363	50	1.48	1.46
6928c4f7-03d2-480c-a29c-a4219d9dca10	50	1.48	1.46
eb9967a4-62aa-4f3e-bae3-40d965e82cb6	28	1.3928571428571428	1.3928571428571428
b34810bc-1c2d-45a4-b724-41912d899f70	24	2.25	2.4583333333333335
